name	cost	ingredient_1	ingredient_2	ingredient_3	ingredient_4	price	date	merchandisable	raw	demand	manufacturedAt	soldAt
Accordion	640	Plastics				22150	1958	TRUE	FALSE	0	NOPE	Instruments
Action Heroes	1770	Plastics				27300	1960	TRUE	FALSE	0	Toys	Toys
Aluminum	-1	Bauxite				0	1923	FALSE	FALSE	0	NOPE	NOPE
Aluminum Ladder	2560	Aluminum				25000	1942	TRUE	FALSE	0	NOPE	Home Hardware
Amplifier	2570	Wooden Board	Steel	Electronic Components		48000	1947	TRUE	FALSE	0	Instruments	Instruments
Baby Food	340	Milk				14150	1928	TRUE	FALSE	0	Grocery	Grocery
Baby Nappies	640	Cotton				21230	1961	TRUE	FALSE	0	Clothing	Clothing
Baker's Ware	360	Wheat				6000	1913	TRUE	FALSE	0	Grocery	Grocery
Bauxite	420					-1	1900	FALSE	TRUE	0	Mine	NOPE
Beer	690	Glass	Hops			13610	1900	TRUE	FALSE	0	Brewery	Grocery
Bikes	3360	Steel				23000	1922	TRUE	FALSE	0	Sports	Sports
Bio Fuel	1000	Rape				50000	1000	TRUE	FALSE		Refinery	Gas Station
Board Games	890	Cardboard	Gambling Pieces			33000	1930	TRUE	FALSE	0	Toys	Toys
Body	6500	Steel				0	1935	FALSE	FALSE	0	NOPE	NOPE
Bowling Balls	1280	Plastics				15380	1922	TRUE	FALSE	0	Sports	Sports
Brass Instruments	1450	High Grade Steel				29070	1936	TRUE	FALSE	0	Instruments	Instruments
Bread	240	Wheat				4540	1900	TRUE	FALSE	0	Grocery	Grocery
Calendar	980	Cardboard	Paper			16740	1911	TRUE	FALSE	0	Printshop	Printshop
Cans	480	Steel				4240	1934	TRUE	FALSE	0	NOPE	NOPE
Cardboard	420	Grain Wood				6980	1900	TRUE	FALSE	0	Paper Factory	Printshop
Cards	670	Cardboard				11540	1904	TRUE	FALSE	0	Printshop	Printshop
CD Player	3230	Aluminum	Electronic Components	Plastics		60000	1000	TRUE	FALSE	0	Electronics	Electronics
Chairs	2320	Leather	Cut Wood			20300	1908	TRUE	FALSE	0	Furniture	Furniture
Christmas Trees	140					7920	1913	TRUE	FALSE	0	Farm	NOPE
Colour TV	2240	Plastics	Electronic Components	Electronic Components	Glass	51460	1963	TRUE	FALSE	0	Electronics	Electronics
Comics	780	Paper				24460	1941	TRUE	FALSE	0	Printshop	Printshop
Computer	3890	Steel	Electronic Components	Electronic Components	Plastics	85390	1000	TRUE	FALSE	0	Electronics	Electronics
Copper Ore	520					-1	1900	FALSE	TRUE	0	Mine	NOPE
Copper Wire	760	Copper Ore				-1	1925	FALSE	FALSE	0	Forge	NOPE
Copybooks	540	Paper				8690	1900	TRUE	FALSE	0	Printshop	Printshop
Cotton	180					350	1900	FALSE	TRUE	0	Farm	NOPE
Crank Telephone	-1	Wooden Board	Copper Wire			-1	1910	TRUE	FALSE	0	Electronics	Electronics
Crocodile Handbags	1090	Crocodile Leather				23770	1936	TRUE	FALSE	0	Clothing	Clothing
Crocodile Leather	560					-1	1936	FALSE	TRUE	0	Crocodile Farm	NOPE
Cut Wood	320					-1	1900	FALSE	TRUE	0	Lumberyard	NOPE
Cutlery	2560	High Grade Steel				19070	1904	TRUE	FALSE	0	Home Appliances	Home Appliances
Dart Board	570	Plastics				13000	1957	TRUE	FALSE	0	Toys	Toys
Deep Freezer	3290	Steel	Steel			29770	1909	TRUE	FALSE	0	Home Appliances	Home Appliances
Designer Furniture	-1	Leather	Aluminum	Aluminum		-1	1943	TRUE	FALSE	0	Furniture	Furniture
Detergents	670	Petroleum				16840	1938	TRUE	FALSE	0	NOPE	NOPE
Digital Decoder	2890	High Grade Steel	Electronic Components	Plastics		69240	2002	TRUE	FALSE	0	Electronics	Electronics
Disposable Cups	1120	Plastics				18920	1942	TRUE	FALSE	0	NOPE	NOPE
Dolls	720	Plastics				6300	1900	TRUE	FALSE	0	Toys	Toys
Doughnuts	420	Wheat	Milk			12070	1903	TRUE	FALSE	0	Grocery	Grocery
Drums	-1	Leather	Steel			-1	1923	TRUE	FALSE	0	Instruments	Instruments
DVD Player	2570	Electronic Components	Plastics			61540	1000	TRUE	FALSE	0	Electronics	Electronics
Eggs	180					4150	1900	TRUE	FALSE	0	Chicken Farm	Grocery
Electric Car	14790	Plastic Car Body	Tyres	Electric Engines		142310	1000	TRUE	FALSE			Car Dealer
Electric Engines	980	Steel	Copper Wire			15390	1927	FALSE	FALSE	0	NOPE	NOPE
Electric Guitar	1540	Wooden Board	Steel			38380	1947	TRUE	FALSE	0	Instruments	Instruments
Electric Tools	-1	Plastics	Electric Engines	Steel		-1	1938	TRUE	FALSE	0	Home Hardware	Home Hardware
