name	cost	ingredient_1	ingredient_2	ingredient_3	ingredient_4	price	date	merchandisable	raw	manufacturedAt	soldAt
Accordion	640	Plastics				22150	1958	TRUE	FALSE	Instruments	Instruments
Action Heros	1770	Plastics				27300	1960	TRUE	FALSE	Toys	Toys
Aluminum	420	Bauxite				0	1923	FALSE	FALSE	Forge	NOPE
Aluminum Ladder	2560	Aluminum				25000	1942	TRUE	FALSE	Home Hardware	Home Hardware
Amplifier	2570	Wooden Board	Steel	Electronic Components		48000	1947	TRUE	FALSE	Instruments	Instruments
Baby Food	340	Milk				14150	1928	TRUE	FALSE	Grocery	Grocery
Baby Nappies	640	Cotton				21230	1961	TRUE	FALSE	Clothing	Clothing
Baker's Ware	360	Wheat				6000	1913	TRUE	FALSE	Grocery	Grocery
Bauxite	420					0	1900	FALSE	TRUE	Mine	NOPE
Beer	690	Glass	Hops			13610	1900	TRUE	FALSE	Brewery	Grocery
Bikes	3360	Steel				23000	1922	TRUE	FALSE	Sports	Sports
Bio Fuel	1000	Rape				50000	1000	TRUE	FALSE	Refinery	Gas Station
Board Games	890	Cardboard	Gambling Pieces			33000	1930	TRUE	FALSE	Toys	Toys
Body	6500	Steel				0	1935	FALSE	FALSE	Car Factory	NOPE
Bowling Balls	1280	Plastics				15380	1922	TRUE	FALSE	Sports	Sports
Brass Instruments	1450	High Grade Steel				29070	1936	TRUE	FALSE	Instruments	Instruments
Bread	240	Wheat				4540	1900	TRUE	FALSE	Grocery	Grocery
Calendar	980	Cardboard	Paper			16740	1911	TRUE	FALSE	Book Shop	Book Shop
Cans	480	Steel				4240	1934	TRUE	FALSE	NOPE	NOPE
Cardboard	420	Grain Wood				6980	1900	TRUE	FALSE	Paper Factory	Book Shop
Cards	670	Cardboard				11540	1904	TRUE	FALSE	Book Shop	Book Shop
CD Player	3230	Aluminum	Electronic Components	Plastics		60000	1000	TRUE	FALSE	Electronics	Electronics
Chairs	2320	Leather	Cut Wood			20300	1908	TRUE	FALSE	Furniture	Furniture
Christmas Trees	140					7920	1913	TRUE	FALSE	Farm	Home Hardware
Colour TV	2240	Plastics	Electronic Components	Electronic Components	Glass	51460	1963	TRUE	FALSE	Electronics	Electronics
Comics	780	Paper				24460	1941	TRUE	FALSE	Book Shop	Book Shop
Computer	3890	Steel	Electronic Components	Electronic Components	Plastics	85390	1000	TRUE	FALSE	Electronics	Electronics
